PAD01,LocationCode,W502G,2021-11-03,08:27:28,1
PAD01,ClassCode,21A089T01,2021-11-03,08:27:30,0
PAD01,ClassCode,21A089T01,2021-11-03,08:27:31,0
PAD01,StudentCode,21170247A,2021-11-03,08:27:42,3
PAD01,StudentCode,21170247A,2021-11-03,08:27:42,4
PAD01,StaffCode,109030,2021-11-03,08:27:42,5
PAD01,StudentCode,21149274A,2021-11-03,08:27:45,6
PAD01,StudentCode,21170131A,2021-11-03,08:27:49,7
PAD01,StudentCode,21002670A,2021-11-03,08:27:52,8
PAD01,StudentCode,21070955A,2021-11-03,08:28:20,9
PAD01,StudentCode,21140777A,2021-11-03,08:30:05,10
PAD01,StudentCode,21131873A,2021-11-03,08:30:40,11
PAD01,StudentCode,21023966A,2021-11-03,08:31:11,12
PAD01,StudentCode,21132716A,2021-11-03,08:31:12,13
PAD01,StudentCode,21115340A,2021-11-03,08:32:31,14
PAD01,StudentCode,21016569A,2021-11-03,08:32:39,15
PAD01,StudentCode,21067059A,2021-11-03,08:32:56,16
PAD01,StudentCode,21081299A,2021-11-03,08:34:13,17
PAD01,StudentCode,21123467A,2021-11-03,08:36:03,18
PAD01,StudentCode,21021101A,2021-11-03,08:36:59,19
PAD01,StaffCode,109030,2021-11-08,08:27:27,20
