PAD01,LocationCode,W402,2021-11-29,08:33:02,1
PAD01,ClassCode,21A089T01,2021-11-29,08:33:04,0
PAD01,ClassCode,21A089T01,2021-11-29,08:33:05,0
PAD01,StudentCode,21016569A,2021-11-29,08:34:58,3
PAD01,StudentCode,21016569A,2021-11-29,08:34:58,4
PAD01,StaffCode,109030,2021-11-29,08:34:58,5
PAD01,StudentCode,21115340A,2021-11-29,08:36:19,6
PAD01,StudentCode,21140777A,2021-11-29,08:39:42,7
PAD01,StudentCode,21142410A,2021-11-29,08:39:45,8
PAD01,StudentCode,21081299A,2021-11-29,08:39:53,9
PAD01,StudentCode,21170131A,2021-11-29,08:39:56,10
PAD01,StudentCode,21002670A,2021-11-29,08:39:58,11
PAD01,StudentCode,21149274A,2021-11-29,08:39:59,12
PAD01,StudentCode,21021101A,2021-11-29,08:40:32,13
PAD01,StudentCode,21123467A,2021-11-29,08:51:20,14
PAD01,StudentCode,21131873A,2021-11-29,08:51:25,15
PAD01,StudentCode,21023966A,2021-11-29,08:52:57,16
PAD01,StudentCode,109030,2021-12-01,08:43:24,17
PAD01,StudentCode,109030,2021-12-01,08:43:24,18
PAD01,StudentCode,21016569A,2021-12-01,08:43:28,19
PAD01,StudentCode,21170247A,2021-12-01,08:43:29,20
PAD01,StudentCode,21067059A,2021-12-01,08:43:31,21
PAD01,StudentCode,21115340A,2021-12-01,08:43:32,22
PAD01,StudentCode,21002670A,2021-12-01,08:43:36,23
PAD01,StudentCode,21140777A,2021-12-01,08:43:42,24
PAD01,StudentCode,21132716A,2021-12-01,08:43:45,25
PAD01,StudentCode,21170131A,2021-12-01,08:43:49,26
PAD01,StudentCode,21149274A,2021-12-01,08:43:50,27
PAD01,StudentCode,21131873A,2021-12-01,08:43:53,28
PAD01,StudentCode,21081299A,2021-12-01,08:44:07,29
PAD01,StudentCode,21021101A,2021-12-01,08:44:09,30
PAD01,StudentCode,21123467A,2021-12-01,08:44:17,31
PAD01,StudentCode,21154548A,2021-12-01,08:47:16,32
PAD01,StudentCode,21108741A,2021-12-01,08:47:18,33
PAD01,StudentCode,21014539A,2021-12-01,08:47:22,34
PAD01,StudentCode,21064790A,2021-12-01,08:47:25,35
PAD01,StudentCode,21015801A,2021-12-01,08:47:39,36
PAD01,StudentCode,21066782A,2021-12-01,08:47:44,37
PAD01,StudentCode,21013229A,2021-12-01,08:48:03,38
PAD01,StudentCode,21123351A,2021-12-01,08:48:07,39
PAD01,StudentCode,21175396A,2021-12-01,08:48:18,40
PAD01,StudentCode,21112601A,2021-12-01,08:54:24,41
PAD01,StudentCode,21074689A,2021-12-01,08:54:29,42
PAD01,StudentCode,21070955A,2021-12-01,09:05:37,43
PAD01,StudentCode,21023966A,2021-12-01,09:05:57,44
PAD01,StudentCode,AJ4248,2021-12-16,16:51:46,45
PAD01,StudentCode,AJ4248,2021-12-16,16:51:46,46
PAD01,StudentCode,AJ4248,2021-12-16,16:52:01,47
