PAD01,LocationCode,W502G,2021-11-22,08:35:45,1
PAD01,ClassCode,21A089T01,2021-11-22,08:35:47,0
PAD01,ClassCode,21A089T01,2021-11-22,08:35:48,0
PAD01,StudentCode,21123467A,2021-11-22,08:35:57,3
PAD01,StudentCode,21123467A,2021-11-22,08:35:57,4
PAD01,StaffCode,109030,2021-11-22,08:35:57,5
PAD01,StudentCode,21170247A,2021-11-22,08:36:01,6
PAD01,StudentCode,21131873A,2021-11-22,08:36:21,7
PAD01,StudentCode,21016569A,2021-11-22,08:36:27,8
PAD01,StudentCode,21115340A,2021-11-22,08:36:32,9
PAD01,StudentCode,21067059A,2021-11-22,08:36:34,10
PAD01,StudentCode,21140777A,2021-11-22,08:36:41,11
PAD01,StudentCode,21002670A,2021-11-22,08:36:55,12
PAD01,StudentCode,21170131A,2021-11-22,08:36:59,13
PAD01,StudentCode,21149274A,2021-11-22,08:37:08,14
PAD01,StudentCode,21170247A,2021-11-22,08:39:09,15
PAD01,StudentCode,21081299A,2021-11-22,08:39:14,16
PAD01,StudentCode,21023966A,2021-11-22,08:41:10,17
PAD01,StudentCode,21021101A,2021-11-22,08:41:13,18
PAD01,StudentCode,21132716A,2021-11-22,08:43:19,19
PAD01,StudentCode,21132716A,2021-11-23,13:25:57,20
PAD01,StudentCode,21132716A,2021-11-23,13:25:57,21
PAD01,StudentCode,21149274A,2021-11-23,13:25:59,22
PAD01,StudentCode,21067059A,2021-11-23,13:26:02,23
PAD01,StudentCode,21021101A,2021-11-23,13:26:04,24
PAD01,StudentCode,21175396A,2021-11-23,13:26:05,25
PAD01,StudentCode,21016569A,2021-11-23,13:26:11,26
PAD01,StudentCode,21023966A,2021-11-23,13:26:12,27
PAD01,StudentCode,21170247A,2021-11-23,13:26:18,28
PAD01,StudentCode,21016569A,2021-11-23,13:26:24,29
PAD01,StudentCode,21016569A,2021-11-23,13:26:26,30
PAD01,StudentCode,21131873A,2021-11-23,13:26:30,31
PAD01,StudentCode,21115340A,2021-11-23,13:26:35,32
PAD01,StudentCode,21170131A,2021-11-23,13:26:46,33
PAD01,StudentCode,21002670A,2021-11-23,13:26:52,34
PAD01,StudentCode,21070955A,2021-11-23,13:27:05,35
PAD01,StudentCode,21066782A,2021-11-23,13:27:15,36
PAD01,StudentCode,21081299A,2021-11-23,13:27:32,37
PAD01,StudentCode,21140777A,2021-11-23,13:27:44,38
PAD01,StudentCode,21142410A,2021-11-23,13:27:51,39
PAD01,StudentCode,21014539A,2021-11-23,13:28:04,40
PAD01,StudentCode,21108741A,2021-11-23,13:28:09,41
PAD01,StudentCode,21074689A,2021-11-23,13:28:14,42
PAD01,StudentCode,21044439A,2021-11-23,13:28:18,43
PAD01,StudentCode,21154548A,2021-11-23,13:28:21,44
PAD01,StudentCode,21064790A,2021-11-23,13:28:22,45
PAD01,StudentCode,21112601A,2021-11-23,13:28:24,46
PAD01,StudentCode,21015801A,2021-11-23,13:28:33,47
PAD01,StudentCode,21013229A,2021-11-23,13:29:10,48
PAD01,StudentCode,21123351A,2021-11-23,13:29:24,49
PAD01,StudentCode,21123467A,2021-11-23,13:31:07,50
PAD01,StudentCode,21074689A,2021-11-24,08:39:49,51
PAD01,StudentCode,21074689A,2021-11-24,08:39:49,52
PAD01,StudentCode,21072611A,2021-11-24,08:39:53,53
PAD01,StudentCode,21013229A,2021-11-24,08:39:59,54
PAD01,StudentCode,21175396A,2021-11-24,08:40:03,55
PAD01,StudentCode,21108741A,2021-11-24,08:40:18,56
PAD01,StudentCode,21066782A,2021-11-24,08:40:31,57
PAD01,StudentCode,21015801A,2021-11-24,08:40:47,58
PAD01,StudentCode,21123351A,2021-11-24,08:40:53,59
PAD01,StudentCode,21014539A,2021-11-24,08:41:38,60
PAD01,StudentCode,21044439A,2021-11-24,08:41:40,61
PAD01,StudentCode,21064790A,2021-11-24,08:41:52,62
PAD01,StudentCode,21154548A,2021-11-24,08:41:53,63
PAD01,StudentCode,21140777A,2021-11-24,08:42:18,64
PAD01,StudentCode,21016569A,2021-11-24,08:42:29,65
PAD01,StudentCode,21115340A,2021-11-24,08:42:31,66
PAD01,StudentCode,21170247A,2021-11-24,08:42:35,67
PAD01,StudentCode,21123467A,2021-11-24,08:42:44,68
PAD01,StudentCode,21021101A,2021-11-24,08:42:49,69
PAD01,StudentCode,21067059A,2021-11-24,08:43:11,70
PAD01,StudentCode,21131873A,2021-11-24,08:44:29,71
PAD01,StudentCode,21132716A,2021-11-24,08:44:44,72
PAD01,StudentCode,21170131A,2021-11-24,08:44:53,73
PAD01,StudentCode,21023966A,2021-11-24,08:46:31,74
PAD01,StudentCode,21112601A,2021-11-24,08:46:39,75
PAD01,StaffCode,109030,2021-11-24,11:01:07,76
